link,full_name,description,year,mileage_km,engine_capacity,fuel_type,price_pln
https://www.otomoto.pl/oferta/bmw-seria-6-m-pakiet-panoramiczny-dach-xdrive-brazowe-skory-audio-harman-kardon-ID6DOG8v.html#b051882c57,BMW Seria 6 640d,"M pakiet Panoramiczny Dach Xdrive, Brązowe Skóry Audio Harman & Kardon",2016,142 900 km,2 993 cm3,Diesel,177 900
https://www.otomoto.pl/oferta/bmw-seria-5-520d-f10-bezwypadkowy-zadbany-egzemplarz-ID6Db4wZ.html#b051882c57,BMW Seria 5 520d,"520d F10. Bezwypadkowy, zadbany egzemplarz.",2013,149 500 km,1 995 cm3,Diesel,62 900
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-5-zadbany-salon-polska-bezwypadkowy-1-wlasciciel-vat-23-ID6DQxlj.html#b051882c57,BMW Seria 5 520d,"BMW 5 Zadbany, Salon Polska, Bezwypadkowy, 1 właściciel, VAT 23%",2016,173 000 km,1 995 cm3,Diesel,94 956
https://www.otomoto.pl/oferta/bmw-seria-3-f31-330xd-luxury-kamera-el-klapa-hak-el-fotele-piekna-ID6CAeqq.html#b051882c57,BMW Seria 3,"F31 330XD LUXURY,Kamera,EL.Klapa,Hak,El,Fotele Piekna",2016,90 000 km,2 995 cm3,Diesel,103 900
https://www.otomoto.pl/oferta/bmw-seria-2-218d-gran-coupe-dostepny-od-reki-ID6DssZ4.html#b051882c57,BMW Seria 2 218d,218d Gran Coupe dostępny od ręki!,2020,5 km,1 995 cm3,Diesel,167 600
https://www.otomoto.pl/oferta/bmw-x4-bmw-x4-m40i-head-up-kola-zimowe-rabat-50-ID6DOFOQ.html#b051882c57,BMW X4 M40i,BMW X4 M40i Head-Up Koła zimowe - Rabat 50%,2020,5 km,2 998 cm3,Benzyna,402 700
https://www.otomoto.pl/oferta/bmw-seria-3-320d-xdrive-sport-line-shadow-aut-ID6DPNLG.html#b051882c57,BMW Seria 3,320d xDrive Sport Line Shadow aut,2017,117 015 km,1 995 cm3,Diesel,98 900
https://www.otomoto.pl/oferta/bmw-seria-2-darmowa-dostawa-190km-led-navi-skora-klima-auto-ID6DNqhm.html#b051882c57,BMW Seria 2,"DARMOWA DOSTAWA, 190KM, LED, Navi, Skóra, Klima auto",2016,79 009 km,1 995 cm3,Diesel,73 900
https://www.otomoto.pl/oferta/bmw-x5-x5-xdrive30d-kola-zimowe-rabat-50-ID6DQxhb.html#b051882c57,BMW X5 xDrive30d,X5 xDrive30d Koła zimowe - Rabat 50%,2021,5 km,2 993 cm3,Diesel,384 600
https://www.otomoto.pl/oferta/bmw-x5-x5-xdrive40d-kola-zimowe-rabat-50-ID6DQxgV.html#b051882c57,BMW X5 xDrive40d,X5 xDrive40d Koła zimowe - Rabat 50%,2021,5 km,2 993 cm3,Diesel,417 600
https://www.otomoto.pl/oferta/bmw-x5-x5-xdrive40d-kola-zimowe-rabat-50-ID6DQxh1.html#b051882c57,BMW X5 xDrive40d,X5 xDrive40d Koła zimowe - Rabat 50%,2021,5 km,2 993 cm3,Diesel,420 300
https://www.otomoto.pl/oferta/bmw-x5-x5-xdrive30d-kola-zimowe-rabat-50-ID6DQxhn.html#b051882c57,BMW X5 xDrive30d,X5 xDrive30d Koła zimowe - Rabat 50%,2021,5 km,2 993 cm3,Diesel,384 600
https://www.otomoto.pl/oferta/bmw-x5-cesja-leasingu-sprzedaz-bmw-x5-f15-2x-m-pakiet-rata-3041-gap-265-km-ID6DQxgg.html#b051882c57,BMW X5 xDrive25d,Cesja Leasingu / Sprzedaż BMW X5 F15 2x M PAKIET RATA 3041 GAP 265 KM,2018,77 496 km,1 995 cm3,Diesel,156 265
https://www.otomoto.pl/oferta/bmw-x5-x5-xdrive40d-kola-zimowe-rabat-50-ID6DQxgJ.html#b051882c57,BMW X5 xDrive40d,X5 xDrive40d Koła zimowe - Rabat 50%,2021,5 km,2 993 cm3,Diesel,423 200
https://www.otomoto.pl/oferta/bmw-seria-5-bmw-535i-gt-xdrive-m-pakiet-shadow-line-20-ID6DPNDr.html#b051882c57,BMW Seria 5 535i,"BMW 535i GT Xdrive M Pakiet Shadow Line 20""",2012,124 000 km,2 979 cm3,Benzyna,83 900
https://www.otomoto.pl/oferta/bmw-x6-m-m50d-400-km-demo-ID6DzLzO.html#b051882c57,BMW X6 M M50d,M50d 400 KM DEMO,2020,5 km,2 993 cm3,Diesel,514 000
https://www.otomoto.pl/oferta/bmw-seria-1-samochod-michala-miska-koterskiego-bogato-wyposazony-vat23-ID6CY6dw.html#b051882c57,BMW Seria 1 120d,Samochód Michała Miśka Koterskiego Bogato wyposażony Vat23%,2019,11 000 km,1 995 cm3,Diesel,179 900
https://www.otomoto.pl/oferta/bmw-seria-1-18i-mpakiet-led-navi-gwarancja-24m-ce-bezwypadkowy-krajowy-ID6A76r5.html#b051882c57,BMW Seria 1 F20/F21,18i Mpakiet LED Navi GWARANCJA 24m ce Bezwypadkowy Krajowy,2017,17 200 km,1 499 cm3,Benzyna,99 000
